Id,Label,timeset,Cluter-ID,att2,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,pageranks,clustering,eigencentrality,modularity_class
167,Sándor Font,,3,Fidesz – Magyar Polgári Szövetség,1,4,5,1,4,5,4,0.435897,0.539216,0.000019,0.000901,0.5,0.002617,3
171,Sándor Szabó,,5,Magyar Szocialista Párt,0,4,4,0,7,7,7,0.25,0.365751,0,0.000789,0.75,0,4
172,Sebestyén Vágó,,4,Jobbik Magyarországért Mozgalom,2,3,5,2,4,6,8,0.212121,0.310927,0.000034,0.001253,0.416667,0.011174,1
174,Tamás László,,3,Fidesz – Magyar Polgári Szövetség,0,4,4,0,5,5,5,0.372549,0.488596,0,0.000789,0.666667,0,2
177,Tibor Bana,,4,Jobbik Magyarországért Mozgalom,0,4,4,0,4,4,8,0.218045,0.334688,0,0.000789,0.5,0,1
185,Zoltán Gőgös,,5,Magyar Szocialista Párt,2,3,5,7,5,12,7,0.247619,0.34652,0,0.0011,0.6,0.007748,4
188,Zoltán Magyar,,4,Jobbik Magyarországért Mozgalom,0,4,4,0,4,4,6,0.305263,0.399425,0,0.000789,0.5,0,1
4,Ágnes Vadai,,1,independent,1,2,3,2,7,9,1,1,1,0,0.001088,0.5,0.004034,6
7,András Aradszki,,3,Kereszténydemokrata Néppárt,0,3,3,0,5,5,2,0.666667,0.75,0,0.000789,0.833333,0,5
12,Árpád Velez,,5,Magyar Szocialista Párt,0,3,3,0,7,7,7,0.247619,0.34652,0,0.000789,0.833333,0,4
30,Csaba Gyüre,,4,Jobbik Magyarországért Mozgalom,0,3,3,0,3,3,7,0.258929,0.35665,0,0.000789,0.5,0,1
32,Csaba Tóth,,5,Magyar Szocialista Párt,0,3,3,0,12,12,7,0.247619,0.34652,0,0.000789,0.833333,0,4
34,Dénes Galambos,,3,Fidesz – Magyar Polgári Szövetség,0,3,3,0,3,3,4,0.425,0.504902,0,0.000789,0.666667,0,2
40,Ferenc Gyurcsány,,1,independent,3,0,3,13,0,13,0,0,0,0,0.002717,0.333333,0.010685,6
42,Ferenc Papcsák,,3,Fidesz – Magyar Polgári Szövetség,0,3,3,0,4,4,3,0.538462,0.666667,0,0.000789,0.166667,0,3
43,Flórián Farkas,,3,Fidesz – Magyar Polgári Szövetség,0,3,3,0,3,3,3,0.6,0.722222,0,0.000789,0.833333,0,2
45,Gábor Kubatov,,3,Fidesz – Magyar Polgári Szövetség,0,3,3,0,3,3,3,0.6,0.722222,0,0.000789,0.833333,0,2
46,Gábor Riz,,3,Fidesz – Magyar Polgári Szövetség,0,3,3,0,3,3,4,0.425,0.504902,0,0.000789,0.666667,0,2
57,Gergely Tapolczai,,3,Fidesz – Magyar Polgári Szövetség,1,2,3,2,2,4,3,0.545455,0.638889,0,0.001125,0.666667,0.002617,2
58,Gordon Bajnai,,2,independent,3,0,3,9,0,9,0,0,0,0,0.002609,0.166667,0.008987,7
66,Gyula Budai,,3,Fidesz – Magyar Polgári Szövetség,0,3,3,0,3,3,3,0.583333,0.690476,0,0.000789,0.666667,0,2
70,Imre Horváth,,5,Magyar Szocialista Párt,0,3,3,0,5,5,7,0.247619,0.34652,0,0.000789,0.833333,0,4
71,Imre Pesti,,3,Fidesz – Magyar Polgári Szövetség,0,3,3,0,3,3,3,0.6,0.722222,0,0.000789,0.833333,0,2
75,István Boldog,,3,Fidesz – Magyar Polgári Szövetség,0,3,3,0,3,3,5,0.365385,0.462281,0,0.000789,0.666667,0,2
77,István Hiller,,5,Magyar Szocialista Párt,0,3,3,0,5,5,7,0.247619,0.34652,0,0.000789,0.833333,0,4
79,István Horváth,,3,Fidesz – Magyar Polgári Szövetség,0,3,3,0,3,3,3,0.6,0.722222,0,0.000789,0.833333,0,2
85,István Szávay,,4,Jobbik Magyarországért Mozgalom,0,3,3,0,3,3,6,0.308511,0.390805,0,0.000789,0.666667,0,1
88,István Tukacs,,5,Magyar Szocialista Párt,0,3,3,0,9,9,7,0.247619,0.34652,0,0.000789,0.833333,0,4
92,János Fónagy,,3,Fidesz – Magyar Polgári Szövetség,0,3,3,0,3,3,3,0.6,0.722222,0,0.000789,0.833333,0,2
93,János Halász,,3,Fidesz – Magyar Polgári Szövetség,0,3,3,0,3,3,3,0.6,0.722222,0,0.000789,0.833333,0,2
94,János Hargitai,,3,Kereszténydemokrata Néppárt,0,3,3,0,4,4,2,0.666667,0.75,0,0.000789,0.833333,0,5
95,János Kerényi,,3,Fidesz – Magyar Polgári Szövetség,0,3,3,0,3,3,5,0.365385,0.462281,0,0.000789,0.666667,0,2
96,János Latorcai,,3,Kereszténydemokrata Néppárt,0,3,3,0,5,5,2,0.666667,0.75,0,0.000789,0.833333,0,5
98,János Pócs,,3,Fidesz – Magyar Polgári Szövetség,0,3,3,0,3,3,3,0.583333,0.690476,0,0.000789,0.666667,0,2
