W(u),W(v),d4,d3,var4,var3,w_centrality,uw_centrality,sign,score
-337.0,60.0,-0.3350274564785606,-0.7531645569620253,115.37194704312061,164.50556317020076,0.0,0.0008081359883429455,1.0,0.011627906976744186
-337.0,-391.0,-2.492764471057884,-2.286764705882353,116.64806691277168,97.09493464052288,0.0,0.0008473854867830018,-1.0,-0.032679738562091505
-337.0,-81.0,-0.5867385855944208,-1.7549019607843137,123.33212075256,187.37805467014394,0.0,0.0007197424377196963,-1.0,-0.015105740181268883
-337.0,60.0,0.013503909026297086,-0.9754098360655737,115.76201492411022,159.90885785603453,0.10419501133786849,0.000588564463236888,-1.0,-0.26666666666666666
-337.0,-17.0,-0.4170959433354797,-1.315126050420168,137.86106322685555,156.6471120093607,0.0,0.0004716533798755661,-1.0,-0.03412073490813648
-337.0,-62.0,-0.6346222064561902,-1.39375,116.58345445727542,152.05153301886793,0.0,0.0007985344393425863,1.0,0.020833333333333332
-337.0,-293.0,-1.4486916951080773,-7.854838709677419,152.72276253891155,495.30645161290323,0.0,0.001040396076743594,-1.0,-0.44
-337.0,-316.0,-2.742795950155763,-12.342105263157896,198.9610970691637,641.3122332859175,0.025136360850646567,0.00160047524361671,-1.0,-0.5384615384615384
-337.0,-4.0,-0.9203570202540337,-1.7,118.78348998238287,68.32631578947368,0.0,0.0020881005574883114,-1.0,-0.08571428571428572
-337.0,34.0,-0.16140674191814483,0.6,113.09067140443005,90.72727272727272,0.00652693509836367,0.0008969656531660331,-1.0,-0.11475409836065574
-337.0,-30.0,-0.7765528686581318,-0.95,114.5282515894986,68.25169491525423,0.0,0.0010781137403803292,1.0,0.046511627906976744
-337.0,-25.0,-0.9547250075964753,-2.152173913043478,111.15825984687187,90.75410628019324,0.0,0.0012258653210342801,-1.0,-0.04477611940298507
-337.0,163.0,0.5622092150682876,1.3431372549019607,117.99654248110383,99.01970491166763,0.0,0.0008910934732500786,1.0,0.04895104895104895
-337.0,-84.0,-1.0854249229414354,-0.9878048780487805,108.95729591551407,84.6541704305932,0.0,0.000943404347134134,-1.0,-0.125
-337.0,-16.0,-0.7883239171374764,-0.2777777777777778,130.29649201033388,87.86349206349206,0.0,0.0016030373809011592,-1.0,-0.014925373134328358
-337.0,21.0,-0.107950830391003,0.11940298507462686,103.9772950486513,94.85781618224667,0.0,0.0008712291694596712,-1.0,-0.05454545454545454
-337.0,161.0,0.35624208381518807,-0.25252525252525254,122.05697047911661,148.2607803927601,0.0,0.0007215810014302418,1.0,0.23636363636363636
-337.0,0.0,1.7824858757062148,-2.5,124.18201533266114,220.5,0.0079288472145615,0.007354293068578783,-1.0,-0.21052631578947367
-337.0,133.0,0.2785104088911006,1.6931818181818181,119.81011629453747,98.90478056426332,0.0,0.0009126530518241017,1.0,0.13333333333333333
-337.0,0.0,-0.46907512083230934,-0.36666666666666664,114.58103193987499,93.24606741573034,0.0,0.0009100946732839831,-1.0,-0.12941176470588237
-337.0,34.0,-0.4567033902815477,-1.0494505494505495,111.19810667489855,130.8759941715743,0.0,0.0007890955152188125,1.0,0.112
-337.0,499.0,1.627116478180308,1.5320512820512822,124.95947934611247,147.69574028122415,0.0,0.0010670285011232974,1.0,0.0851063829787234
-337.0,-170.0,-1.566824576514499,-1.8,115.94062065316668,94.8954128440367,0.0,0.0008724700422025595,1.0,0.047619047619047616
